Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Jon Gray,31,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Gray*,27,TBR,AL,2,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Riley Greene*,22,DET,AL,99,416,378,51,109,19,4,11,37,7,0,35,114,7,1,0,2,0
Zack Greinke,39,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randal Grichuk,31,TOT,MLB,118,471,434,65,116,31,2,16,44,2,2,29,96,11,6,0,2,2
Trent Grisham*,26,SDP,NL,153,555,469,67,93,31,1,13,50,15,3,75,154,7,5,4,1,0
Vaughn Grissom,22,ATL,NL,23,80,75,5,21,3,1,0,9,0,1,2,15,2,2,0,1,0
Robbie Grossman#,33,TEX,AL,115,420,353,56,84,23,1,10,49,1,0,57,98,8,2,0,8,0
Vladimir Guerrero Jr.,24,TOR,AL,156,682,602,78,159,30,0,26,94,5,3,67,100,23,9,0,4,5
Luis Guillorme*,28,NYM,NL,54,120,107,12,24,6,1,1,9,0,0,10,28,4,0,2,1,1
Lourdes Gurriel Jr.,29,ARI,NL,145,592,551,65,144,35,2,24,82,5,0,33,103,20,6,0,2,1
Yuli Gurriel,39,MIA,NL,108,329,298,32,73,16,3,4,27,4,0,26,44,13,1,0,4,3
Dalton Guthrie,27,PHI,NL,23,28,24,4,4,1,0,0,0,0,0,3,7,0,1,0,0,0
Eric Haase,30,TOT,AL,89,293,274,22,55,8,1,4,26,4,1,17,81,11,0,1,1,1
Josh Hader*,29,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Haggerty#,29,SEA,AL,52,108,91,13,23,3,1,1,5,10,1,15,17,0,1,1,0,0
Darick Hall*,27,PHI,NL,18,56,54,2,9,1,0,1,3,0,0,2,18,2,0,0,0,0
DL Hall*,24,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Hamilton,32,CHW,AL,3,2,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Caleb Hamilton,28,BOS,AL,4,6,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
David Hamilton*,25,BOS,AL,15,39,33,2,4,2,0,0,0,2,1,6,10,1,0,0,0,0
Garrett Hampson,28,MIA,NL,98,252,221,30,61,12,1,3,23,5,0,23,67,3,3,3,2,0
Mitch Haniger,32,SFG,NL,61,229,211,27,44,13,1,6,28,1,0,15,65,7,2,0,1,0
