Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Carlos Santana#,37,TOT,NL,146,619,550,78,132,33,1,23,86,6,0,65,104,11,0,0,4,0
Anthony Santander#,28,BAL,AL,153,656,591,81,152,41,1,28,95,5,1,55,152,11,6,0,4,1
Tony Santillan,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayler Saucedo*,30,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Sborz,29,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nolan Schanuel*,21,LAA,AL,29,132,109,19,30,3,0,1,6,0,0,20,19,1,3,0,0,1
Casey Schmitt,24,SFG,NL,90,277,253,28,52,15,0,5,30,2,1,13,65,7,5,3,3,0
Davis Schneider,24,TOR,AL,35,141,116,23,32,12,1,8,20,1,0,21,43,2,4,0,0,0
Jonathan Schoop,31,DET,AL,55,151,136,15,29,8,0,0,7,0,0,13,37,6,0,0,2,0
John Schreiber,29,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Schwarber*,30,PHI,NL,160,720,585,108,115,19,1,47,104,0,2,126,215,4,6,0,3,5
Tayler Scott,31,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Seager*,29,TEX,AL,119,536,477,88,156,42,0,33,96,2,1,49,88,9,4,0,6,9
Chandler Seagle,27,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Segura,33,MIA,NL,85,326,301,25,66,5,2,3,21,6,2,22,47,12,2,1,0,1
Marcus Semien,32,TEX,AL,162,753,670,122,185,40,4,29,100,14,3,72,110,5,5,0,5,1
Nick Senzel,28,CIN,NL,104,330,301,49,71,10,0,13,42,6,2,26,74,9,1,0,2,0
Brian Serven,28,COL,NL,11,23,23,0,3,1,0,0,1,0,0,0,10,0,0,0,0,0
Paul Sewald,33,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Sheets*,27,CHW,AL,118,344,311,24,63,10,0,10,43,1,0,28,66,6,1,0,4,2
Braden Shewmake*,25,ATL,NL,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zack Short,28,DET,AL,110,253,221,17,45,9,0,7,33,5,0,28,66,3,0,3,1,0
Michael Siani*,23,TOT,NL,8,6,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Lucas Sims,29,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Singleton*,31,TOT,MLB,36,105,91,11,15,3,0,2,12,0,0,13,23,2,0,0,1,0
Jose Siri,27,TBR,AL,101,364,338,58,75,13,2,25,56,12,3,20,130,5,2,1,3,0
Austin Slater,30,SFG,NL,89,207,185,24,50,9,0,5,20,2,2,20,58,2,2,0,0,0
Dominic Smith*,28,WSN,NL,153,586,527,57,134,21,1,12,46,1,1,47,91,12,10,0,2,1
Josh H. Smith*,25,TEX,AL,90,232,195,29,36,8,1,6,15,1,0,25,55,3,9,2,1,0
Kevin Smith,26,OAK,AL,49,146,135,15,25,4,0,5,11,1,0,5,51,3,1,5,0,0
Pavin Smith*,27,ARI,NL,69,228,191,26,36,5,0,7,30,1,1,35,45,3,1,0,0,0
Will Smith,33,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Smith,28,LAD,NL,126,554,464,80,121,21,2,19,76,3,0,63,89,8,15,0,12,2
Canaan Smith-Njigba*,24,PIT,NL,15,37,32,3,4,1,1,0,5,1,0,4,16,1,0,0,1,0
Drew Smyly*,34,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Soderstrom*,21,OAK,AL,45,138,125,9,20,1,0,3,7,0,0,11,43,6,1,0,1,0
Nick Solak,28,TOT,MLB,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donovan Solano,35,MIN,AL,134,450,394,43,111,26,1,5,38,0,0,40,100,8,15,0,1,1
Jorge Soler,31,MIA,NL,137,580,504,77,126,24,0,36,75,1,0,66,141,20,6,0,4,4
Edmundo Sosa,27,PHI,NL,104,300,279,34,70,15,2,10,30,4,2,8,74,10,9,2,1,0
Lenyn Sosa,23,CHW,AL,52,173,164,12,33,6,0,6,14,0,1,5,40,3,0,3,1,1
Juan Soto*,24,SDP,NL,162,708,568,97,156,32,1,35,109,12,5,132,129,18,2,1,5,11
Livan Soto*,23,LAA,AL,4,12,9,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0
Carson Spiers,25,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Springer,33,TOR,AL,154,683,613,87,158,25,1,21,72,20,5,60,125,20,5,0,3,1
Jacob Stallings,33,MIA,NL,88,276,241,22,46,14,0,3,20,0,0,27,67,9,3,3,2,0
Ryne Stanek,31,HOU,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giancarlo Stanton,33,NYY,AL,101,415,371,43,71,13,0,24,60,0,0,41,124,11,2,0,1,3
Spencer Steer,25,CIN,NL,156,665,582,74,158,37,3,23,86,15,3,68,139,9,11,0,4,0
Michael Stefanic,27,LAA,AL,25,71,62,5,18,2,1,0,6,0,1,8,8,0,1,0,0,0
Tyler Stephenson,26,CIN,NL,142,517,465,59,113,20,2,13,56,0,1,47,135,16,4,0,1,2
Andrew Stevenson*,29,MIN,AL,25,40,37,4,7,1,0,0,1,4,1,2,8,0,1,0,0,0
Cal Stevenson*,26,SFG,NL,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0
DJ Stewart*,29,NYM,NL,58,185,160,21,39,9,0,11,26,1,1,15,56,3,7,1,1,0
Trevor Story,30,BOS,AL,43,168,158,12,32,9,0,3,14,10,3,9,55,2,1,0,0,0
Bryson Stott*,25,PHI,NL,151,640,585,78,164,32,2,15,62,31,3,39,100,10,7,1,8,1
Kyle Stowers*,25,BAL,AL,14,33,30,1,2,0,0,0,0,0,0,3,12,1,0,0,0,0
Myles Straw,28,CLE,AL,147,518,462,52,110,18,3,1,29,20,6,42,97,10,2,6,6,0
Garrett Stubbs*,30,PHI,NL,41,125,113,15,23,4,1,1,12,2,0,9,29,0,2,1,0,0
Eugenio Suárez,31,SEA,AL,162,694,598,68,139,29,0,22,96,2,1,70,214,10,15,0,11,0
Brett Sullivan*,29,SDP,NL,33,86,81,7,17,3,0,1,6,0,0,4,19,1,0,0,1,0
Brent Suter*,33,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Suwinski*,24,PIT,NL,144,534,447,63,100,21,2,26,74,13,2,75,172,2,6,0,6,2
Seiya Suzuki,28,CHC,NL,138,583,515,75,147,31,6,20,74,6,7,59,130,8,2,0,7,3
Dansby Swanson,29,CHC,NL,147,638,565,81,138,25,3,22,80,9,1,66,154,9,5,0,2,0
Domingo Tapia,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raimel Tapia*,29,TOT,MLB,64,169,148,28,35,4,1,3,13,10,2,17,40,2,1,1,1,0
Fernando Tatis Jr.,24,SDP,NL,141,635,575,91,148,33,1,25,78,29,4,53,141,17,3,1,3,0
Mike Tauchman*,32,CHC,NL,108,401,337,64,85,18,0,8,48,7,1,56,86,3,4,1,3,1
Leody Taveras#,24,TEX,AL,143,554,511,67,136,31,3,14,67,14,4,35,117,3,1,3,4,0
Chris Taylor,32,LAD,NL,117,384,338,51,80,15,1,15,56,16,3,41,125,2,4,0,1,2
Michael A. Taylor,32,MIN,AL,129,388,355,48,78,14,1,21,51,13,1,26,130,7,3,3,1,0
Samad Taylor,24,KCR,AL,31,69,60,11,12,2,1,0,4,8,0,7,22,1,0,1,1,0
Tyrone Taylor,29,MIL,NL,81,243,231,36,54,17,1,10,35,9,0,8,55,10,3,0,1,0
Rowdy Tellez*,28,MIL,NL,105,351,311,26,67,9,1,13,47,0,0,35,86,11,0,0,5,2
José Tena*,22,CLE,AL,18,34,31,2,7,2,0,0,3,0,0,3,13,0,0,0,0,0
Matt Thaiss*,28,LAA,AL,95,307,262,32,56,6,0,9,31,2,0,36,83,4,6,0,3,1
Alek Thomas*,23,ARI,NL,125,402,374,51,86,17,5,9,39,9,1,19,86,5,4,2,3,1
Cody Thomas*,28,OAK,AL,19,46,42,1,10,3,0,1,2,0,0,4,17,1,0,0,0,0
Lane Thomas,27,WSN,NL,156,682,628,101,168,36,3,28,86,20,5,36,176,5,11,0,7,0
Bubba Thompson,25,TEX,AL,37,60,53,10,9,4,1,0,4,4,2,4,16,0,1,1,1,0
Trayce Thompson,32,TOT,MLB,72,179,153,17,25,2,0,6,17,2,0,24,77,1,2,0,0,0
Michael Toglia#,24,COL,NL,45,152,141,18,23,5,0,4,9,1,1,10,50,3,1,0,0,0
Justin Topa,32,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Torkelson,23,DET,AL,159,684,606,88,141,34,1,31,94,3,0,67,171,15,6,0,5,1
Abraham Toro#,26,MIL,NL,9,21,18,4,8,0,0,2,9,0,0,2,5,0,1,0,0,0
Luis Torrens,27,TOT,MLB,18,30,28,1,7,3,0,0,4,0,0,1,9,0,1,0,0,0
Gleyber Torres,26,NYY,AL,158,672,596,90,163,28,2,25,68,13,6,67,98,19,3,0,6,0
Ezequiel Tovar,21,COL,NL,153,615,581,79,147,37,4,15,73,11,5,25,166,10,4,2,3,0
Taylor Trammell*,25,SEA,AL,22,56,46,7,6,0,0,3,11,0,1,9,22,2,1,0,0,0
Alan Trejo,27,COL,NL,82,227,207,24,48,11,0,4,26,5,1,16,51,3,1,1,2,0
Jose Trevino,30,NYY,AL,55,168,157,15,33,4,0,4,15,0,0,8,22,6,2,1,0,0
Jared Triolo,25,PIT,NL,54,209,181,30,54,9,0,3,21,6,1,24,63,0,3,0,1,0
Chadwick Tromp,28,ATL,NL,6,16,16,1,2,1,0,0,1,0,0,0,7,0,0,0,0,0
Mike Trout,31,LAA,AL,82,362,308,54,81,14,1,18,44,2,0,45,104,4,7,0,2,2
Cole Tucker#,26,COL,NL,5,10,8,2,4,0,0,0,2,0,0,1,2,0,1,0,0,0
Kyle Tucker*,26,HOU,AL,157,674,574,97,163,37,5,29,112,30,5,80,92,11,3,0,10,9
Brice Turang*,23,MIL,NL,137,448,404,46,88,9,3,6,34,26,4,38,94,9,1,3,2,1
Justin Turner,38,BOS,AL,146,626,558,86,154,31,0,23,96,4,1,51,110,10,11,0,6,0
Trea Turner,30,PHI,NL,155,691,639,102,170,35,5,26,76,30,0,45,150,12,6,0,1,2
Luis Urías,26,TOT,MLB,52,177,144,18,28,6,0,3,18,0,0,21,41,4,10,0,0,0
Ramón Urías,29,BAL,AL,116,396,360,45,95,22,3,4,42,3,1,27,101,10,8,0,1,0
Gio Urshela,31,LAA,AL,62,228,214,22,64,8,1,2,24,3,2,10,36,9,1,0,3,0
Enmanuel Valdez*,24,BOS,AL,49,149,139,17,37,8,0,6,19,5,1,8,37,4,1,0,0,0
Ildemaro Vargas#,31,WSN,NL,86,286,262,32,66,13,2,4,31,1,1,19,20,10,1,3,1,0
Miguel Vargas,23,LAD,NL,81,304,256,36,50,15,4,7,32,3,2,38,61,1,4,1,4,1
Daulton Varsho*,26,TOR,AL,158,581,527,65,116,23,3,20,61,16,7,45,135,5,4,1,3,0
Andrew Vaughn,25,CHW,AL,152,615,566,67,146,30,2,21,80,0,0,36,129,15,11,0,2,0
Terrin Vavra*,26,BAL,AL,27,56,49,9,12,0,0,0,5,1,0,5,12,5,0,2,0,0
Christian Vázquez,32,MIN,AL,102,355,327,34,73,13,0,6,32,1,0,25,82,11,1,1,1,1
Andrew Velazquez,28,LAA,AL,54,94,81,12,14,3,0,2,3,13,3,10,30,1,0,3,0,0
Nelson Velázquez,24,TOT,MLB,53,179,162,35,38,6,0,17,34,0,0,14,51,3,2,0,1,0
Alex Verdugo*,27,BOS,AL,142,602,546,81,144,37,5,13,54,5,3,45,93,11,6,0,5,1
Alex Vesia*,27,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Vest,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Vientos,23,NYM,NL,65,233,218,19,46,5,1,9,22,1,0,10,71,5,3,0,2,0
Matt Vierling,26,DET,AL,134,530,479,63,125,21,5,10,44,6,6,44,112,8,5,1,1,1
David Villar,26,SFG,NL,46,140,124,15,18,6,0,5,12,1,1,11,45,1,4,0,1,0
Meibrys Viloria*,26,CLE,AL,10,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Daniel Vogelbach*,30,NYM,NL,104,319,275,33,64,8,0,13,48,0,0,42,81,6,2,0,0,1
Luke Voit,32,MIL,NL,22,74,68,5,15,3,0,0,4,2,0,4,27,3,2,0,0,0
Anthony Volpe,22,NYY,AL,159,601,541,62,113,23,4,21,60,24,5,52,167,10,5,1,2,0
Jason Vosler*,29,CIN,NL,20,65,62,6,10,2,1,3,10,0,0,3,25,0,0,0,0,0
Joey Votto*,39,CIN,NL,65,242,208,26,42,6,0,14,38,0,0,27,62,2,7,0,0,0
LaMonte Wade Jr.*,29,SFG,NL,135,519,429,64,110,14,2,17,45,2,0,76,95,4,6,4,4,3
Tyler Wade*,28,OAK,AL,26,55,51,8,13,1,1,0,2,4,0,4,13,0,0,0,0,0
Adam Wainwright,41,STL,NL,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Christian Walker,32,ARI,NL,157,661,582,86,150,36,2,33,103,11,0,62,127,13,8,0,8,3
Jordan Walker,21,STL,NL,117,465,420,51,116,19,2,16,51,7,4,37,104,9,6,0,2,0
Forrest Wall*,27,ATL,NL,15,15,13,6,6,2,0,1,2,5,1,2,4,0,0,0,0,0
Chad Wallach,31,LAA,AL,65,172,157,18,31,5,1,7,15,0,1,13,57,5,0,2,0,0
Matt Wallner*,25,MIN,AL,76,254,213,42,53,11,1,14,41,2,1,28,80,1,13,0,0,1
Taylor Walls#,26,TBR,AL,99,349,303,50,61,12,2,8,36,22,1,44,92,1,1,1,0,0
Jared Walsh*,29,LAA,AL,39,116,104,10,13,4,0,4,11,0,0,11,45,1,1,0,0,0
Taylor Ward,29,LAA,AL,97,409,356,60,90,18,0,14,47,4,2,39,80,9,8,0,6,0
Drew Waters#,24,KCR,AL,98,337,302,40,69,11,5,8,32,16,5,27,107,4,5,0,3,0
Austin Wells*,23,NYY,AL,19,75,70,8,16,6,0,4,13,0,0,3,14,3,0,0,1,0
Joey Wendle*,33,MIA,NL,112,318,297,33,63,16,3,2,20,7,1,13,67,8,2,3,3,0
Hayden Wesneski,25,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Westburg,24,BAL,AL,68,228,208,26,54,17,2,3,23,4,1,16,56,3,1,0,3,0
Eli White,29,ATL,NL,6,17,14,1,1,0,0,0,0,0,0,2,7,0,1,0,0,0
Garrett Whitlock,27,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Wiemer,24,MIL,NL,132,410,367,48,75,19,0,13,42,11,4,36,116,4,5,0,2,0
Alika Williams,24,PIT,NL,46,112,101,7,20,5,0,0,6,0,0,9,35,2,1,1,0,0
Luke Williams,26,TOT,NL,11,19,19,1,1,0,0,0,0,4,0,0,7,0,0,0,0,0
Weston Wilson,28,PHI,NL,8,22,16,5,5,0,0,1,2,3,1,6,5,0,0,0,0,0
Jesse Winker*,29,MIL,NL,61,197,166,16,33,5,0,1,23,0,0,26,51,0,4,0,1,0
Masyn Winn,21,STL,NL,37,137,122,8,21,2,0,2,12,2,1,10,26,1,0,2,3,0
Patrick Wisdom,31,CHC,NL,97,302,268,43,55,8,1,23,46,4,2,30,111,4,2,1,1,0
Brett Wisely*,24,SFG,NL,51,131,120,10,21,5,0,2,8,2,1,9,40,2,0,1,1,0
Bobby Witt Jr.,23,KCR,AL,158,694,641,97,177,28,11,30,96,49,15,40,121,11,4,1,8,1
Nick Wittgren,32,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Wong,27,BOS,AL,126,403,371,55,87,25,2,9,36,8,2,22,134,4,6,3,1,0
Kolten Wong*,32,TOT,MLB,87,250,224,25,41,6,0,4,27,3,2,18,53,1,5,0,3,0
Austin Wynns,32,TOT,NL,51,145,130,11,27,6,0,1,10,1,0,9,39,4,2,3,1,0
Ryan Yarbrough,31,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Yastrzemski*,32,SFG,NL,106,381,330,54,77,23,1,15,43,2,2,45,99,5,3,2,1,3
Christian Yelich*,31,MIL,NL,144,632,550,106,153,34,1,19,76,28,3,78,140,15,3,0,1,7
Juan Yepez,25,STL,NL,28,65,60,5,11,1,0,2,2,0,1,4,20,0,1,0,0,0
Masataka Yoshida*,29,BOS,AL,140,580,537,71,155,33,3,15,72,8,0,34,81,20,7,0,2,0
Alex Young*,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Young,23,WSN,NL,33,121,107,9,27,7,1,0,12,13,0,10,22,2,1,3,0,0
Jared Young*,27,CHC,NL,16,47,43,8,8,0,3,2,8,2,0,3,13,1,1,0,0,0
Seby Zavala,29,TOT,MLB,73,193,175,17,30,4,0,7,18,1,0,12,70,4,2,2,2,0
Mike Zunino,32,CLE,AL,42,140,124,11,22,7,0,3,11,0,0,15,61,3,1,0,0,0
LgAvg per 600 PA,,,,166,600,536,73,132,27,2,19,70,11,3,51,137,11,7,1,4,1
